number,name,5-U,6-U,7-U,8-U,uriage,5-E,6-E,7-E,8-E,eigyourieki,5-K,6-K,7-K,8-K,keijyourieki,5-T,6-T,7-T,8-T,toukijyunnrieki
1,"KYOKUYO CO.,LTD.","62,644","64,240","78,552","57,083","262,519",770,-35,1881,302,2918,"1,015",113,"1,851",629,"3,608",706,4,1029,298,2037
2,"Nippon Suisan Kaisha,Ltd.","174,143","171,259","181,426","-264,309","262,519","5,704","5,373","7,991",-16150,2918,"6,067","6,071","9,475","-18,005","3,608","3,619","4,210","6,962",-12754,2037
3,Maruha Nichiro Corporation,"221,879","225,128","251,383","206,814","905,204","4,782","5,114","6,140","1,043",17079,"5,649","5,847","7,139","1,266","19,901","3,693","4,421","4,817",-394,12537
4,HOHSUI CORPORATION,"18,685","19,168","23,815","18,824","80,492",184,278,331,46,839,167,258,307,25,757,69,156,156,73,454
5,"Hinokiya Group Co.,Ltd.","25,309","28,677","39,162","21,551","114,699",726,1407,3952,-171,5914,721,"1,369","3,978",-176,"5,892",201,177,1955,-351,1982
6,"SHO-BOND Holdings Co.,Ltd.","14,533","13,219","17,652","19,106","64,510",1854,2026,3871,4541,12292,"2,083","2,053","3,949","4,578","12,663",1309,1360,2677,3041,8387
7,MIRAIT Holdings Corporation,"83,344","99,629","105,534","152,659","441,166","1,173","3,785","4,106","12,929",21993,"1,709","3,878","4,775","12,845","23,207",910,2442,2952,8916,15220
8,"Tama Home Co.,Ltd.","66,093","45,234","54,029","45,008","210,364",4680,2119,1914,1445,10158,"4,533","2,033","1,955","1,368","9,889",2496,1355,1154,956,5961
9,"Nippon Aqua Co.,Ltd.","5,195","5,364","5,999","4,899","21,457",363,566,631,435,1995,363,562,627,443,"1,995",239,376,429,292,1336
10,First-corporation Inc.,"5,556","3,030","3,744","3,840","16,170",600,86,138,98,922,600,85,137,94,916,410,55,90,50,605
11,"BESTERRA CO.,LTD",793,734,795,0,"2,322",23,-11,-49,0,-37,23,-9,-47,0,-33,15,-10,-32,0,-27
12,"TATERU,Inc.","9,610","3,334","1,221","2,035","16,200",-1798,-765,-2404,-201,-5168,"-1,992",-812,"-2,425",-224,"-5,453",-2894,-1524,-4073,-227,-8718
13,"CANDEAL CO.,Ltd","3,038","3,302","3,143","3,474","12,957",7,105,56,268,436,0,100,27,263,390,18,32,-8,156,198
14,"SPACE VALUE HOLDINGS CO.,LTD.","16,418","20,797","22,058","-59,273",0,255,532,464,-1251,0,322,507,614,"-1,443",0,150,58,213,-421,0
15,"Sumiseki Holdings,Inc.","4,272","2,770","4,331","4,017","15,390",-56,41,39,-3,21,-75,974,31,332,"1,262",-85,849,-15,272,1021
16,"Nittetsu Mining Co.,Ltd.","29,405","29,464","30,472","28,161","117,502",2040,2212,1981,1343,7576,"2,351","2,238","2,345","1,078","8,012",1237,1460,1447,374,4518
17,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.","16,722","15,787","15,988","18,099","66,596",1009,379,287,1066,2741,"1,075",431,417,"1,072","2,995",697,273,292,1030,2292
18,INPEX CORPORATION,"287,401","287,868","424,736","249,669","1,249,674",146277,134438,217926,100878,599519,"130,968","140,136","239,984","107,728","618,816",29696,39791,54063,33572,157122
19,"Japan Petroleum Exploration Co.,Ltd.","93,252","69,094","85,473","71,003","318,822",4617,3113,3803,2750,14283,"8,909","10,940","-16,870","29,656","32,635",8951,3118,4487,10259,26815
20,Meiho Facility Works Ltd.,"1,021","1,073","1,070","1,189","4,353",174,214,175,339,902,176,216,175,339,906,122,160,125,232,639
21,HAZAMA ANDO CORPORATION,"71,431","104,778","93,151","108,775","378,135",2710,9110,5090,7789,24699,"2,495","8,976","4,939","7,573","23,983",1640,6038,3365,5760,16803
22,"TOKYU CONSTRUCTION CO., LTD.","78,722","104,693","64,775","73,980","322,170",6636,9684,1525,2470,20315,"7,001","9,971","1,975","3,022","21,969",4838,6678,1146,2241,14903
23,COMSYS Holdings Corporation,"111,906","131,118","131,745","186,113","560,882",4976,7983,8199,17795,38953,"5,511","8,120","8,588","17,845","40,064",3509,3620,7330,11535,25994
24,TAISEI CORPORATION,"349,621","416,793","408,276","576,640","1,751,330",25907,33945,33147,74756,167755,"27,976","34,484","34,840","76,047","173,347",21443,23436,23800,53408,122087
25,OBAYASHI CORPORATION,"446,720","518,570","533,130","574,623","2,073,043",25399,47365,45660,34447,152871,"28,112","48,639","48,912","33,342","159,005",22733,34080,34950,21330,113093
26,SHIMIZU CORPORATION,"411,126","423,724","403,926","-1,238,776",0,27805,34574,34678,-97057,0,"30,668","34,604","38,250","-103,522",0,24284,23410,26159,-73853,0
27,TOBISHIMA CORPORATION,"28,686","35,379","34,316","36,478","134,859",583,2507,1993,2765,7848,496,"2,410","1,903",-427,"4,382",314,1600,1301,1894,5109
28,HASEKO Corporation,"192,139","222,095","196,863","234,932","846,029",17359,26276,17476,24814,85925,"17,542","25,902","17,848","23,961","85,253",12525,17643,12105,17578,59851
29,"MATSUI CONSTRUCTION CO.,LTD.","22,235","22,770","23,612","25,805","94,422",915,600,864,1108,3487,"1,054",652,965,"1,150","3,821",742,343,904,570,2559
