number,name,13-U,14-U,15-U,16-U,uriage,13-E,14-E,15-E,16-E,eigyourieki,13-K,14-K,15-K,16-K,keijyourieki,13-T,14-T,15-T,16-T,toukijyunnrieki
1,JALUX Inc.,36327,37690,36934,33737,144688,1035,1335,1236,363,3969,1262,1540,1485,451,4738,765,945,1071,300,3081
2,"TAKACHIHO KOHEKI CO.,LTD.",4782,5391,5252,5191,20616,81,300,255,152,788,118,321,268,178,885,114,184,175,-283,190
3,Elematec Corporation,42562,45495,46365,41232,175654,1166,1160,1328,1111,4765,1093,1169,1193,1044,4499,818,853,871,721,3263
4,ARATA CORPORATION,195393,210948,195560,194326,796227,2491,2545,2218,2072,9326,2693,2710,2537,2184,10124,2070,1791,1966,1364,7191
5,TOMEN DEVICES CORPORATION,56146,69635,68765,65821,260367,988,890,1814,834,4526,927,940,1698,809,4374,677,699,1302,704,3382
6,FIELDS CORPORATION,19098,8566,9340,29583,66587,-683,-2225,-1432,5053,713,-630,-2062,-1505,5136,939,-677,-2211,-1586,4964,490
7,Sojitz Corporation,437426,456406,424766,1092928,2411526,54887,54850,49706,-169123,-9680,18133,17126,11539,-9324,37474,15357,16286,9162,-8689,32116
8,Alfresa Holdings Corporation,677033,690122,695699,635657,2698511,9182,13727,11635,13101,47645,11616,15553,14375,15626,57170,7889,10240,9866,12278,40273
9,Rasa Corporation,6357,7351,6457,9099,29264,309,534,381,750,1974,372,598,416,848,2234,242,540,288,628,1698
10,ALCONIX CORPORATION,60181,58251,57142,-175574,0,1232,1467,1349,-4048,0,1547,1421,1367,-4335,0,901,1011,1341,-3253,0
11,HYPER Inc.,5924,6268,6023,6389,24604,28,134,129,214,505,27,135,126,215,503,16,83,76,135,310
12,Ai Holdings Corporation,11432,11308,11426,10960,45126,1867,2471,1906,2239,8483,2035,2531,2078,2224,8868,270,1718,1453,1486,4927
13,DVx Inc.,10864,11257,11384,11148,44653,150,296,340,329,1115,157,296,341,329,1123,106,208,233,245,792
14,"Lacto Japan Co.,Ltd.",29826,29824,29258,28221,117129,871,882,655,764,3172,717,834,660,753,2964,512,603,473,545,2133
15,"VITAL KSK HOLDINGS,INC.",142689,142830,147255,129731,562505,551,885,1654,466,3556,1356,1662,2386,1000,6404,1053,1411,2169,9,4642
16,"Yashima Denki Co.,Ltd.",13528,16395,14806,25461,70190,164,-42,458,1929,2509,205,-17,499,1971,2658,118,-30,7,1299,1394
17,"MEDIUS HOLDINGS Co.,Ltd.",48428,55918,49195,55187,208728,288,587,178,808,1861,170,720,322,924,2136,186,356,212,572,1326
18,Restar Holdings Corporation,106973,96011,91634,84930,379548,1616,1868,1494,1659,6637,3974,1659,1521,1871,9025,3488,958,1125,151,5722
19,"Sanyo Trading Co.,Ltd.",20807,19125,21177,19800,80909,1451,969,1575,1372,5367,1469,978,1781,1403,5631,991,578,1113,1001,3683
20,BEAUTY GARAGE Inc.,3773,3938,3776,-11487,0,159,155,101,-415,0,158,158,115,-431,0,85,78,82,-245,0
21,"WIN-Partners Co.,Ltd.",17076,16068,15447,15946,64537,757,701,588,603,2649,758,697,590,610,2655,519,528,402,423,1872
22,"VITAL KSK HOLDINGS,INC.",9930,10499,9322,10662,40413,207,135,257,-28,571,223,150,276,-8,641,138,95,156,-29,360
23,"Startia Holdings,Inc.",2873,3367,3000,3538,12778,-2,322,35,377,732,-12,347,48,388,771,-31,211,13,26,219
24,p-ban.com Corp.,478,524,572,559,2133,55,68,72,52,247,55,68,56,53,232,38,58,39,-24,111
25,Ascentech K.K.,1367,1405,1202,-3974,0,112,128,74,-314,0,119,114,73,-306,0,82,78,65,-225,0
26,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
27,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
28,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
29,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
30,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
31,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
32,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
33,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
34,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
35,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
36,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
37,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
38,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
39,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
40,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
41,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
42,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
43,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
44,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
45,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
46,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
47,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
48,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
49,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
50,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
51,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
52,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
53,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
54,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
55,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
56,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
57,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
58,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
59,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
60,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
61,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
62,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
63,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
64,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
65,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
66,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
67,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
68,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
69,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
70,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
71,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
72,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
73,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
74,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
75,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
76,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
77,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
78,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
79,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
80,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
81,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
82,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
83,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
84,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
85,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
86,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
87,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
88,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
89,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
90,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
91,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
92,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
93,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
94,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
95,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
96,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
97,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
98,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
99,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
100,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
