day,start,hight,low,end
2019/10/2,3430 ,3515 ,3415 ,3515 
2019/10/3,3435 ,3455 ,3395 ,3435 
2019/10/4,3430 ,3430 ,3365 ,3390 
2019/10/7,3410 ,3415 ,3355 ,3395 
2019/10/8,3435 ,3450 ,3420 ,3450 
2019/10/9,3410 ,3520 ,3400 ,3520 
2019/10/10,3510 ,3525 ,3460 ,3470 
2019/10/11,3520 ,3520 ,3460 ,3490 
2019/10/15,3550 ,3575 ,3510 ,3530 
2019/10/16,3595 ,3645 ,3570 ,3605 
2019/10/17,3620 ,3620 ,3560 ,3595 
2019/10/18,3635 ,3650 ,3520 ,3530 
2019/10/21,3540 ,3595 ,3540 ,3580 
2019/10/23,3580 ,3600 ,3550 ,3600 
2019/10/24,3600 ,3630 ,3590 ,3610 
2019/10/25,3590 ,3650 ,3565 ,3640 
2019/10/28,3640 ,3655 ,3610 ,3610 
2019/10/29,3655 ,3680 ,3615 ,3680 
2019/10/30,3680 ,3855 ,3645 ,3855 
2019/10/31,3805 ,3865 ,3760 ,3820 
2019/11/1,3790 ,3795 ,3720 ,3730 
2019/11/5,3730 ,3825 ,3660 ,3825 
2019/11/6,3790 ,3835 ,3775 ,3815 
2019/11/7,3790 ,3820 ,3765 ,3770 
2019/11/8,3820 ,3835 ,3705 ,3720 
2019/11/11,3740 ,3820 ,3740 ,3820 
2019/11/12,3820 ,3840 ,3740 ,3835 
2019/11/13,3780 ,3830 ,3750 ,3750 
2019/11/14,3750 ,3835 ,3685 ,3805 
2019/11/15,3815 ,3890 ,3780 ,3885 
2019/11/18,3895 ,3950 ,3885 ,3945 
2019/11/19,3960 ,3960 ,3865 ,3865 
2019/11/20,3850 ,3860 ,3755 ,3765 
2019/11/21,3810 ,3810 ,3695 ,3765 
2019/11/22,3765 ,3830 ,3760 ,3765 
2019/11/25,3770 ,3820 ,3755 ,3755 
2019/11/26,3765 ,3795 ,3750 ,3755 
2019/11/27,3775 ,3800 ,3760 ,3790 
