day,start,hight,low,end
2019/10/2,2118 ,2154 ,2114 ,2154 
2019/10/3,2110 ,2110 ,2067 ,2093 
2019/10/4,2084 ,2084 ,2035 ,2067 
2019/10/7,2067 ,2074 ,2032 ,2052 
2019/10/8,2078 ,2085 ,2041 ,2085 
2019/10/9,2052 ,2094 ,2045 ,2094 
2019/10/10,2076 ,2076 ,2038 ,2062 
2019/10/11,2063 ,2075 ,2048 ,2061 
2019/10/15,2102 ,2121 ,2089 ,2096 
2019/10/16,2130 ,2145 ,2101 ,2120 
2019/10/17,2120 ,2130 ,2105 ,2116 
2019/10/18,2128 ,2144 ,2105 ,2119 
2019/10/21,2128 ,2139 ,2121 ,2136 
2019/10/23,2150 ,2150 ,2088 ,2118 
2019/10/24,2130 ,2165 ,2109 ,2161 
2019/10/25,2164 ,2164 ,2131 ,2158 
2019/10/28,2165 ,2165 ,2129 ,2135 
2019/10/29,2160 ,2185 ,2150 ,2170 
2019/10/30,2170 ,2205 ,2153 ,2205 
2019/10/31,2186 ,2231 ,2159 ,2217 
2019/11/1,2207 ,2218 ,2190 ,2218 
2019/11/5,2265 ,2307 ,2214 ,2287 
2019/11/6,2287 ,2310 ,2258 ,2268 
2019/11/7,2274 ,2274 ,2251 ,2255 
2019/11/8,2287 ,2287 ,2143 ,2228 
2019/11/11,2251 ,2297 ,2232 ,2268 
2019/11/12,2268 ,2317 ,2237 ,2272 
2019/11/13,2271 ,2271 ,2249 ,2249 
2019/11/14,2241 ,2241 ,2216 ,2226 
2019/11/15,2227 ,2265 ,2226 ,2255 
2019/11/18,2244 ,2277 ,2244 ,2277 
2019/11/19,2277 ,2286 ,2240 ,2254 
2019/11/20,2225 ,2229 ,2201 ,2206 
2019/11/21,2206 ,2219 ,2165 ,2199 
2019/11/22,2193 ,2235 ,2186 ,2190 
2019/11/25,2190 ,2250 ,2190 ,2227 
2019/11/26,2227 ,2229 ,2212 ,2222 
2019/11/27,2197 ,2243 ,2192 ,2243 
2019/11/28,2242 ,2242 ,2191 ,2191 
2019/11/29,2211 ,2211 ,2167 ,2199 
2019/12/2,2217 ,2260 ,2217 ,2259 
2019/12/3,2247 ,2247 ,2164 ,2178 
2019/12/4,2158 ,2193 ,2129 ,2193 
2019/12/5,2202 ,2212 ,2171 ,2180 
2019/12/6,2180 ,2202 ,2167 ,2188 
2019/12/9,2195 ,2197 ,2162 ,2188 
2019/12/10,2188 ,2209 ,2162 ,2180 
