day,start,hight,low,end
2019/10/2,1082 ,1120 ,1078 ,1117 
2019/10/3,1095 ,1097 ,1078 ,1097 
2019/10/4,1084 ,1091 ,1075 ,1090 
2019/10/7,1089 ,1090 ,1074 ,1081 
2019/10/8,1084 ,1095 ,1078 ,1093 
2019/10/9,1087 ,1101 ,1082 ,1099 
2019/10/10,1093 ,1093 ,1075 ,1082 
2019/10/11,1086 ,1088 ,1077 ,1081 
2019/10/15,1102 ,1106 ,1087 ,1089 
2019/10/16,1106 ,1115 ,1090 ,1098 
2019/10/17,1103 ,1105 ,1079 ,1102 
2019/10/18,1108 ,1109 ,1099 ,1105 
2019/10/21,1113 ,1124 ,1108 ,1124 
2019/10/23,1125 ,1125 ,1104 ,1119 
2019/10/24,1121 ,1123 ,1100 ,1117 
2019/10/25,1115 ,1123 ,1102 ,1123 
2019/10/28,1122 ,1132 ,1118 ,1128 
2019/10/29,1140 ,1157 ,1140 ,1156 
2019/10/30,1145 ,1189 ,1132 ,1189 
2019/10/31,1170 ,1179 ,1133 ,1151 
2019/11/1,1145 ,1150 ,1132 ,1150 
2019/11/5,1167 ,1178 ,1138 ,1167 
2019/11/6,1165 ,1170 ,1156 ,1165 
2019/11/7,1170 ,1170 ,1150 ,1160 
2019/11/8,1170 ,1170 ,1140 ,1160 
2019/11/11,1170 ,1185 ,1163 ,1182 
2019/11/12,1184 ,1206 ,1180 ,1201 
2019/11/13,1207 ,1220 ,1200 ,1211 
2019/11/14,1211 ,1217 ,1199 ,1203 
2019/11/15,1208 ,1239 ,1201 ,1237 
2019/11/18,1238 ,1250 ,1226 ,1250 
2019/11/19,1245 ,1248 ,1228 ,1229 
2019/11/20,1225 ,1225 ,1208 ,1215 
2019/11/21,1218 ,1229 ,1203 ,1226 
2019/11/22,1237 ,1239 ,1214 ,1215 
2019/11/25,1216 ,1220 ,1198 ,1204 
2019/11/26,1204 ,1204 ,1165 ,1165 
2019/11/27,1165 ,1186 ,1164 ,1184 
2019/11/28,1184 ,1192 ,1175 ,1192 
2019/11/29,1193 ,1218 ,1193 ,1216 
2019/12/2,1228 ,1232 ,1213 ,1224 
2019/12/3,1217 ,1218 ,1196 ,1199 
2019/12/4,1192 ,1223 ,1188 ,1223 
2019/12/5,1216 ,1216 ,1197 ,1202 
2019/12/6,1196 ,1198 ,1180 ,1193 
2019/12/9,1198 ,1202 ,1183 ,1192 
2019/12/10,1193 ,1197 ,1175 ,1183 
2019/12/11,1183 ,1183 ,1160 ,1166 
2019/12/12,1166 ,1174 ,1158 ,1161 
2019/12/13,1180 ,1212 ,1180 ,1193 
2019/12/16,1203 ,1206 ,1190 ,1198 
2019/12/17,1203 ,1216 ,1200 ,1202 
2019/12/18,1211 ,1211 ,1195 ,1203 
2019/12/19,1198 ,1212 ,1193 ,1201 
2019/12/20,1206 ,1208 ,1197 ,1205 
2019/12/23,1210 ,1210 ,1194 ,1202 
2019/12/24,1204 ,1205 ,1188 ,1188 
2019/12/25,1199 ,1199 ,1175 ,1180 
2019/12/26,1180 ,1180 ,1167 ,1178 
2019/12/27,1183 ,1198 ,1170 ,1194 
2019/12/30,1191 ,1192 ,1177 ,1179 
2020/1/6,1161 ,1172 ,1155 ,1162 
2020/1/7,1174 ,1193 ,1170 ,1185 
2020/1/8,1165 ,1170 ,1152 ,1157 
2020/1/9,1171 ,1177 ,1152 ,1155 
2020/1/10,1154 ,1162 ,1149 ,1156 
2020/1/14,1150 ,1152 ,1121 ,1126 
2020/1/15,1121 ,1140 ,1118 ,1137 
2020/1/16,1131 ,1131 ,1117 ,1119 
2020/1/17,1121 ,1147 ,1118 ,1141 
