day,start,hight,low,end
2019/10/2,2043 ,2068 ,2018 ,2064 
2019/10/3,2004 ,2028 ,1983 ,2026 
2019/10/4,1976 ,1998 ,1969 ,1986 
2019/10/7,1989 ,2005 ,1961 ,1978 
2019/10/8,2000 ,2009 ,1968 ,1977 
2019/10/9,1940 ,1957 ,1921 ,1956 
2019/10/10,1948 ,1955 ,1921 ,1946 
2019/10/11,1982 ,1997 ,1963 ,1979 
2019/10/15,2030 ,2049 ,2012 ,2022 
2019/10/16,2080 ,2100 ,2036 ,2041 
2019/10/17,2043 ,2043 ,2007 ,2012 
2019/10/18,2021 ,2040 ,2007 ,2018 
2019/10/21,2025 ,2038 ,2017 ,2029 
2019/10/23,2061 ,2093 ,2052 ,2084 
2019/10/24,2082 ,2133 ,2082 ,2114 
2019/10/25,2102 ,2130 ,2097 ,2109 
2019/10/28,2124 ,2128 ,2103 ,2108 
2019/10/29,2130 ,2169 ,2125 ,2153 
2019/10/30,2146 ,2153 ,2116 ,2124 
2019/10/31,2111 ,2125 ,2073 ,2110 
2019/11/1,2069 ,2098 ,2066 ,2098 
2019/11/5,2116 ,2145 ,2109 ,2128 
2019/11/6,2163 ,2165 ,2146 ,2157 
2019/11/7,2138 ,2147 ,2119 ,2126 
2019/11/8,2170 ,2195 ,2128 ,2136 
2019/11/11,2170 ,2181 ,2152 ,2153 
2019/11/12,2135 ,2155 ,2125 ,2146 
2019/11/13,2135 ,2169 ,2120 ,2153 
2019/11/14,2146 ,2164 ,2082 ,2099 
2019/11/15,2077 ,2121 ,2055 ,2116 
2019/11/18,2117 ,2130 ,2090 ,2111 
2019/11/19,2090 ,2093 ,2057 ,2059 
2019/11/20,2037 ,2060 ,2026 ,2033 
2019/11/21,2037 ,2055 ,1999 ,2035 
2019/11/22,2048 ,2067 ,2038 ,2039 
2019/11/25,2046 ,2081 ,2045 ,2066 
2019/11/26,2078 ,2092 ,2056 ,2070 
2019/11/27,2087 ,2123 ,2083 ,2123 
2019/11/28,2135 ,2170 ,2134 ,2150 
2019/11/29,2135 ,2143 ,2082 ,2085 
2019/12/2,2104 ,2105 ,2082 ,2092 
2019/12/3,2055 ,2076 ,2046 ,2076 
2019/12/4,2048 ,2056 ,2014 ,2039 
2019/12/5,2050 ,2086 ,2050 ,2074 
2019/12/6,2100 ,2116 ,2084 ,2090 
2019/12/9,2120 ,2157 ,2115 ,2154 
2019/12/10,2144 ,2157 ,2118 ,2128 
2019/12/11,2140 ,2149 ,2122 ,2135 
2019/12/12,2129 ,2129 ,2094 ,2097 
2019/12/13,2162 ,2206 ,2157 ,2185 
2019/12/16,2185 ,2194 ,2162 ,2167 
2019/12/17,2186 ,2195 ,2168 ,2180 
2019/12/18,2194 ,2194 ,2139 ,2146 
2019/12/19,2141 ,2152 ,2126 ,2126 
2019/12/20,2139 ,2140 ,2116 ,2133 
2019/12/23,2110 ,2116 ,2098 ,2108 
2019/12/24,2117 ,2126 ,2098 ,2107 
2019/12/25,2115 ,2115 ,2075 ,2079 
2019/12/26,2079 ,2106 ,2079 ,2098 
2019/12/27,2111 ,2146 ,2111 ,2137 
2019/12/30,2134 ,2134 ,2105 ,2105 
2020/1/6,2076 ,2090 ,2035 ,2063 
2020/1/7,2073 ,2082 ,2046 ,2071 
2020/1/8,2080 ,2085 ,2034 ,2065 
