day,start,hight,low,end
2019/10/2,700 ,715 ,696 ,701 
2019/10/3,686 ,690 ,672 ,676 
2019/10/4,666 ,668 ,655 ,668 
2019/10/7,670 ,676 ,656 ,662 
2019/10/8,670 ,686 ,669 ,678 
2019/10/9,677 ,686 ,670 ,673 
2019/10/10,676 ,678 ,658 ,670 
2019/10/11,674 ,687 ,672 ,677 
2019/10/15,687 ,697 ,679 ,680 
2019/10/16,690 ,715 ,690 ,700 
2019/10/17,708 ,720 ,702 ,703 
2019/10/18,704 ,711 ,685 ,690 
2019/10/21,697 ,706 ,691 ,692 
2019/10/23,700 ,703 ,689 ,702 
2019/10/24,705 ,716 ,705 ,710 
2019/10/25,714 ,725 ,708 ,712 
2019/10/28,716 ,726 ,715 ,720 
2019/10/29,729 ,740 ,723 ,724 
2019/10/30,724 ,748 ,721 ,726 
2019/10/31,725 ,725 ,706 ,711 
2019/11/1,700 ,715 ,700 ,707 
2019/11/5,725 ,738 ,717 ,731 
2019/11/6,737 ,754 ,736 ,747 
2019/11/7,760 ,760 ,739 ,748 
2019/11/8,755 ,755 ,730 ,734 
2019/11/11,738 ,746 ,731 ,739 
2019/11/12,737 ,741 ,727 ,741 
2019/11/13,731 ,737 ,728 ,728 
2019/11/14,723 ,727 ,709 ,709 
2019/11/15,709 ,734 ,705 ,729 
2019/11/18,725 ,731 ,721 ,729 
2019/11/19,723 ,729 ,718 ,720 
2019/11/20,717 ,717 ,706 ,709 
2019/11/21,711 ,719 ,698 ,711 
2019/11/22,711 ,712 ,702 ,707 
2019/11/25,718 ,722 ,715 ,720 
2019/11/26,720 ,724 ,708 ,715 
2019/11/27,715 ,719 ,713 ,719 
2019/11/28,720 ,724 ,712 ,720 
2019/11/29,720 ,722 ,713 ,718 
2019/12/2,720 ,733 ,718 ,732 
2019/12/3,717 ,726 ,716 ,721 
2019/12/4,715 ,718 ,704 ,717 
2019/12/5,721 ,723 ,711 ,714 
2019/12/6,717 ,724 ,714 ,719 
2019/12/9,725 ,730 ,716 ,720 
2019/12/10,720 ,724 ,713 ,716 
2019/12/11,713 ,714 ,705 ,707 
2019/12/12,710 ,710 ,701 ,701 
2019/12/13,712 ,724 ,710 ,717 
2019/12/16,717 ,719 ,705 ,710 
2019/12/17,718 ,718 ,709 ,718 
2019/12/18,720 ,721 ,711 ,715 
2019/12/19,717 ,723 ,716 ,719 
2019/12/20,723 ,728 ,718 ,722 
2019/12/23,717 ,719 ,705 ,711 
2019/12/24,714 ,714 ,709 ,710 
2019/12/25,718 ,718 ,700 ,705 
2019/12/26,701 ,711 ,699 ,711 
2019/12/27,717 ,726 ,683 ,719 
2019/12/30,716 ,716 ,705 ,706 
2020/1/6,691 ,694 ,675 ,680 
2020/1/7,685 ,693 ,680 ,691 
2020/1/8,680 ,688 ,673 ,678 
2020/1/9,693 ,693 ,683 ,688 
2020/1/10,688 ,689 ,680 ,681 
2020/1/14,681 ,681 ,665 ,666 
2020/1/15,667 ,667 ,656 ,663 
2020/1/16,661 ,664 ,657 ,659 
2020/1/17,658 ,662 ,654 ,656 
2020/1/20,661 ,665 ,659 ,662 
2020/1/21,662 ,663 ,656 ,662 
2020/1/22,656 ,659 ,651 ,657 
2020/1/23,652 ,655 ,648 ,651 
2020/1/24,655 ,655 ,645 ,647 
2020/1/27,637 ,641 ,629 ,641 
2020/1/28,631 ,640 ,627 ,638 
2020/1/29,634 ,644 ,633 ,640 
2020/1/30,637 ,638 ,624 ,635 
2020/1/31,644 ,649 ,639 ,641 
2020/2/3,613 ,626 ,612 ,617 
2020/2/4,617 ,623 ,615 ,622 
2020/2/5,623 ,627 ,616 ,619 
2020/2/6,627 ,635 ,627 ,629 
2020/2/7,629 ,629 ,610 ,614 
2020/2/10,600 ,615 ,597 ,611 
2020/2/12,610 ,611 ,600 ,606 
2020/2/13,606 ,606 ,596 ,601 
2020/2/14,595 ,601 ,593 ,601 
2020/2/17,600 ,600 ,586 ,588 
2020/2/18,588 ,588 ,573 ,578 
2020/2/19,578 ,578 ,570 ,570 
2020/2/20,574 ,577 ,562 ,566 
2020/2/21,566 ,577 ,563 ,571 
2020/2/25,544 ,551 ,539 ,543 
2020/2/26,538 ,546 ,533 ,546 
2020/2/27,539 ,539 ,524 ,525 
2020/2/28,514 ,516 ,502 ,508 
2020/3/2,499 ,508 ,493 ,505 
2020/3/3,509 ,510 ,492 ,494 
2020/3/4,486 ,492 ,478 ,483 
2020/3/5,483 ,488 ,476 ,482 
2020/3/6,466 ,467 ,454 ,461 
2020/3/9,429 ,441 ,417 ,422 
2020/3/10,415 ,430 ,405 ,430 
2020/3/11,422 ,433 ,411 ,421 
2020/3/12,413 ,414 ,389 ,393 
2020/3/13,354 ,366 ,344 ,351 
2020/3/16,365 ,369 ,349 ,357 
2020/3/17,340 ,388 ,335 ,386 
2020/3/18,387 ,398 ,368 ,371 
2020/3/19,372 ,373 ,326 ,331 
2020/3/23,331 ,378 ,331 ,375 
2020/3/24,396 ,398 ,379 ,398 
2020/3/25,438 ,438 ,404 ,425 
2020/3/26,424 ,437 ,415 ,433 
2020/3/27,441 ,460 ,435 ,447 
2020/3/30,414 ,415 ,384 ,410 
2020/3/31,406 ,410 ,382 ,389 
2020/4/1,383 ,388 ,360 ,364 
2020/4/2,356 ,359 ,339 ,344 
2020/4/3,344 ,350 ,329 ,335 
2020/4/6,329 ,349 ,326 ,347 
2020/4/7,359 ,361 ,341 ,353 
2020/4/8,352 ,372 ,341 ,359 
2020/4/9,357 ,361 ,344 ,353 
2020/4/10,353 ,358 ,340 ,357 
2020/4/13,352 ,355 ,343 ,345 
2020/4/14,345 ,349 ,332 ,348 
2020/4/15,346 ,346 ,331 ,337 
2020/4/16,329 ,330 ,321 ,329 
2020/4/17,334 ,334 ,323 ,328 
2020/4/20,331 ,333 ,326 ,328 
2020/4/21,323 ,324 ,316 ,320 
2020/4/22,316 ,319 ,309 ,312 
2020/4/23,313 ,330 ,313 ,329 
2020/4/24,330 ,341 ,327 ,340 
2020/4/27,340 ,358 ,336 ,357 
2020/4/28,360 ,364 ,356 ,359 
2020/4/30,375 ,377 ,365 ,366 
2020/5/1,342 ,348 ,329 ,331 
2020/5/7,332 ,343 ,329 ,343 
2020/5/8,340 ,345 ,336 ,344 
2020/5/11,349 ,364 ,349 ,362 
2020/5/12,360 ,360 ,345 ,345 
2020/5/13,344 ,346 ,334 ,338 
2020/5/14,330 ,333 ,319 ,321 
2020/5/15,331 ,338 ,326 ,335 
2020/5/18,335 ,344 ,334 ,344 
2020/5/19,355 ,362 ,351 ,356 
2020/5/20,355 ,355 ,341 ,345 
2020/5/21,346 ,348 ,340 ,345 
2020/5/22,349 ,349 ,335 ,342 
2020/5/25,346 ,351 ,344 ,351 
2020/5/26,353 ,367 ,352 ,365 
2020/5/27,372 ,395 ,372 ,393 
2020/5/28,400 ,405 ,394 ,403 
2020/5/29,396 ,404 ,390 ,390 
2020/6/1,398 ,398 ,376 ,382 
2020/6/2,385 ,391 ,382 ,387 
2020/6/3,393 ,395 ,383 ,388 
2020/6/4,394 ,395 ,383 ,392 
