day,start,hight,low,end
2019/10/2,1405,1446,1405,1426
2019/10/3,1397,1397,1346,1369
2019/10/4,1357,1357,1319,1343
2019/10/7,1335,1353,1317,1325
2019/10/8,1340,1368,1335,1363
2019/10/9,1341,1353,1326,1353
2019/10/10,1343,1351,1312,1338
2019/10/11,1348,1375,1343,1370
2019/10/15,1395,1422,1388,1388
2019/10/16,1418,1455,1418,1434
2019/10/17,1425,1429,1395,1416
2019/10/18,1431,1448,1410,1416
2019/10/21,1424,1439,1416,1420
2019/10/23,1428,1447,1418,1447
2019/10/24,1453,1484,1453,1472
2019/10/25,1484,1494,1465,1484
2019/10/28,1492,1507,1483,1489
2019/10/29,1510,1536,1497,1531
2019/10/30,1524,1537,1498,1537
2019/10/31,1540,1557,1503,1538
2019/11/1,1518,1539,1517,1538
2019/11/5,1540,1560,1513,1545
2019/11/6,1555,1565,1542,1563
2019/11/7,1561,1561,1527,1533
2019/11/8,1556,1558,1525,1530
2019/11/11,1539,1559,1535,1541
2019/11/12,1540,1545,1520,1530
2019/11/13,1547,1570,1525,1530
2019/11/14,1530,1532,1483,1500
2019/11/15,1515,1561,1498,1553
2019/11/18,1541,1542,1508,1533
2019/11/19,1532,1532,1505,1514
2019/11/20,1500,1514,1486,1511
2019/11/21,1507,1527,1487,1502
2019/11/22,1502,1522,1496,1500
2019/11/25,1509,1518,1496,1499
2019/11/26,1515,1515,1480,1488
2019/11/27,1499,1505,1485,1503
2019/11/28,1510,1516,1495,1511
2019/11/29,1517,1530,1503,1530
2019/12/2,1530,1538,1513,1532
2019/12/3,1504,1519,1488,1502
2019/12/4,1487,1522,1472,1519
2019/12/5,1535,1543,1526,1530
2019/12/6,1537,1566,1527,1561
2019/12/9,1578,1592,1568,1568
2019/12/10,1568,1574,1539,1546
2019/12/11,1545,1545,1500,1506
2019/12/12,1515,1515,1497,1500
2019/12/13,1521,1586,1519,1580
2019/12/16,1594,1623,1572,1576
2019/12/17,1599,1619,1586,1615
2019/12/18,1620,1620,1560,1566
2019/12/19,1553,1560,1532,1541
2019/12/20,1558,1558,1527,1538
2019/12/23,1540,1542,1521,1525
2019/12/24,1542,1542,1511,1513
2019/12/25,1508,1512,1480,1486
2019/12/26,1486,1521,1486,1520
2019/12/27,1519,1563,1510,1560
2019/12/30,1554,1554,1525,1529
2020/1/6,1490,1499,1476,1494
2020/1/7,1517,1519,1496,1510
2020/1/8,1476,1488,1452,1474
2020/1/9,1503,1508,1480,1481
2020/1/10,1494,1494,1463,1468
2020/1/14,1466,1467,1421,1424
2020/1/15,1415,1415,1391,1406
2020/1/16,1409,1420,1391,1413
2020/1/17,1399,1434,1393,1427
2020/1/20,1433,1433,1410,1410
2020/1/21,1404,1406,1383,1393
2020/1/22,1372,1388,1355,1369
2020/1/23,1357,1366,1343,1355
2020/1/24,1351,1351,1330,1331
2020/1/27,1288,1303,1283,1299
2020/1/28,1282,1290,1261,1287
2020/1/29,1287,1310,1287,1310
2020/1/30,1293,1295,1270,1286
2020/1/31,1293,1294,1274,1275
2020/2/3,1250,1271,1247,1268
2020/2/4,1268,1292,1261,1288
2020/2/5,1297,1304,1288,1294
2020/2/6,1320,1348,1320,1338
2020/2/7,1327,1327,1283,1289
2020/2/10,1277,1279,1260,1268
2020/2/12,1260,1260,1246,1251
2020/2/13,1244,1249,1236,1242
2020/2/14,1237,1281,1235,1268
2020/2/17,1251,1251,1233,1238
2020/2/18,1234,1245,1222,1225
2020/2/19,1230,1234,1214,1215
2020/2/20,1221,1228,1205,1205
2020/2/21,1206,1232,1206,1219
2020/2/25,1192,1199,1177,1178
2020/2/26,1162,1172,1145,1165
2020/2/27,1155,1156,1137,1139
2020/2/28,1111,1112,1077,1091
2020/3/2,1080,1143,1069,1133
2020/3/3,1159,1176,1120,1136
2020/3/4,1135,1154,1112,1123
2020/3/5,1148,1154,1120,1141
2020/3/6,1111,1112,1076,1077
2020/3/9,1038,1041,982,991
2020/3/10,961,1021,931,1019
2020/3/11,1007,1040,985,986
2020/3/12,960,982,931,938
2020/3/13,870,879,830,852
2020/3/16,870,934,855,911
2020/3/17,890,1013,872,1006
2020/3/18,1036,1112,1035,1060
2020/3/19,1090,1157,1063,1111
2020/3/23,1113,1139,1061,1135
2020/3/24,1149,1162,1080,1113
2020/3/25,1140,1182,1118,1180
2020/3/26,1173,1200,1131,1183
2020/3/27,1213,1251,1210,1251
2020/3/30,1209,1215,1132,1213
2020/3/31,1228,1228,1129,1141
2020/4/1,1125,1153,1075,1092
2020/4/2,1080,1108,1034,1051
2020/4/3,1037,1082,1034,1047
2020/4/6,1041,1116,1026,1105
2020/4/7,1130,1155,1085,1128
2020/4/8,1137,1215,1130,1196
2020/4/9,1186,1197,1138,1152
2020/4/10,1160,1178,1134,1173
2020/4/13,1135,1139,1093,1098
2020/4/14,1090,1130,1090,1130
2020/4/15,1130,1133,1056,1063
2020/4/16,1055,1094,1053,1089
2020/4/17,1110,1118,1056,1078
2020/4/20,1080,1107,1079,1101
2020/4/21,1090,1103,1077,1103
2020/4/22,1100,1115,1078,1084
2020/4/23,1090,1101,1079,1097
2020/4/24,1098,1102,1082,1085
2020/4/27,1085,1090,1037,1063
2020/4/28,1065,1065,1043,1049
2020/4/30,1079,1080,1051,1053
2020/5/1,1041,1043,1012,1036
2020/5/7,1030,1036,1005,1017
2020/5/8,1020,1048,1006,1048
2020/5/11,1065,1090,1041,1044
2020/5/12,1040,1040,1019,1020
2020/5/13,1010,1019,982,1017
2020/5/14,1040,1040,981,981
2020/5/15,996,1038,992,1037
2020/5/18,1035,1049,1013,1020
2020/5/19,1040,1044,1006,1018
2020/5/20,1010,1013,1000,1005
2020/5/21,1010,1018,1004,1018
2020/5/22,1018,1020,992,1000
2020/5/25,1002,1018,1001,1016
