day,start,hight,low,end
2019/10/2,1445,1470,1445,1467
2019/10/3,1447,1447,1424,1443
2019/10/4,1430,1441,1415,1441
2019/10/7,1430,1431,1408,1419
2019/10/8,1419,1431,1418,1427
2019/10/9,1424,1437,1418,1437
2019/10/10,1435,1435,1420,1428
2019/10/11,1423,1423,1405,1417
2019/10/15,1417,1430,1408,1414
2019/10/16,1438,1441,1429,1437
2019/10/17,1442,1442,1433,1439
2019/10/18,1434,1438,1421,1432
2019/10/21,1425,1434,1422,1428
2019/10/23,1434,1434,1413,1425
2019/10/24,1421,1430,1413,1427
2019/10/25,1427,1440,1425,1432
2019/10/28,1429,1434,1417,1426
2019/10/29,1430,1430,1403,1403
2019/10/30,1403,1441,1396,1441
2019/10/31,1425,1440,1408,1424
2019/11/1,1424,1426,1408,1418
2019/11/5,1429,1430,1415,1424
2019/11/6,1421,1429,1421,1424
2019/11/7,1420,1432,1413,1418
2019/11/8,1427,1427,1410,1411
2019/11/11,1413,1420,1404,1404
2019/11/12,1403,1406,1340,1388
2019/11/13,1388,1395,1380,1387
2019/11/14,1383,1383,1360,1371
2019/11/15,1380,1403,1380,1400
2019/11/18,1397,1403,1383,1398
2019/11/19,1402,1402,1380,1387
2019/11/20,1387,1393,1373,1376
2019/11/21,1377,1386,1377,1382
2019/11/22,1376,1385,1372,1375
2019/11/25,1376,1379,1369,1372
2019/11/26,1372,1374,1366,1366
2019/11/27,1366,1380,1366,1380
2019/11/28,1380,1380,1369,1373
2019/11/29,1376,1377,1373,1377
2019/12/2,1377,1383,1374,1382
2019/12/3,1372,1382,1363,1374
2019/12/4,1361,1373,1361,1373
2019/12/5,1374,1379,1367,1375
2019/12/6,1366,1380,1366,1380
2019/12/9,1374,1380,1368,1372
2019/12/10,1378,1378,1360,1360
2019/12/11,1362,1375,1362,1375
2019/12/12,1375,1377,1366,1372
2019/12/13,1367,1383,1367,1378
2019/12/16,1377,1377,1370,1377
2019/12/17,1379,1384,1353,1378
2019/12/18,1378,1378,1365,1370
2019/12/19,1362,1384,1356,1384
2019/12/20,1381,1383,1371,1379
2019/12/23,1373,1385,1372,1375
2019/12/24,1376,1377,1365,1366
2019/12/25,1366,1368,1358,1361
2019/12/26,1357,1379,1357,1379
2019/12/27,1373,1395,1371,1395
2019/12/30,1398,1398,1388,1391
2020/1/6,1387,1388,1373,1377
2020/1/7,1384,1396,1383,1396
2020/1/8,1382,1383,1365,1365
2020/1/9,1375,1383,1372,1372
2020/1/10,1373,1381,1368,1368
2020/1/14,1371,1377,1361,1362
2020/1/15,1366,1366,1351,1360
2020/1/16,1358,1358,1344,1347
2020/1/17,1350,1371,1350,1359
2020/1/20,1363,1366,1356,1357
2020/1/21,1354,1367,1352,1364
2020/1/22,1369,1369,1359,1360
2020/1/23,1358,1358,1351,1358
2020/1/24,1356,1358,1350,1350
2020/1/27,1344,1344,1336,1336
2020/1/28,1333,1346,1311,1337
2020/1/29,1333,1340,1333,1334
2020/1/30,1342,1349,1320,1349
2020/1/31,1345,1348,1332,1339
2020/2/3,1337,1343,1315,1327
2020/2/4,1332,1337,1327,1337
2020/2/5,1325,1335,1320,1320
2020/2/6,1329,1337,1329,1335
2020/2/7,1325,1330,1317,1318
2020/2/10,1304,1317,1304,1317
2020/2/12,1300,1310,1297,1297
2020/2/13,1300,1323,1300,1323
2020/2/14,1321,1338,1316,1338
2020/2/17,1338,1338,1320,1328
2020/2/18,1329,1333,1323,1328
2020/2/19,1323,1329,1315,1318
2020/2/20,1333,1333,1310,1311
