day,start,hight,low,end
2019/10/2,1494 ,1525 ,1478 ,1521 
2019/10/3,1488 ,1490 ,1440 ,1450 
2019/10/4,1440 ,1440 ,1400 ,1413 
2019/10/7,1413 ,1418 ,1396 ,1403 
2019/10/8,1418 ,1433 ,1409 ,1433 
2019/10/9,1419 ,1435 ,1405 ,1434 
2019/10/10,1418 ,1426 ,1398 ,1404 
2019/10/11,1418 ,1420 ,1400 ,1407 
2019/10/15,1430 ,1449 ,1425 ,1436 
2019/10/16,1460 ,1490 ,1460 ,1476 
2019/10/17,1485 ,1485 ,1461 ,1475 
2019/10/18,1485 ,1508 ,1475 ,1475 
2019/10/21,1485 ,1507 ,1485 ,1491 
2019/10/23,1507 ,1507 ,1465 ,1495 
2019/10/24,1513 ,1540 ,1505 ,1539 
2019/10/25,1525 ,1540 ,1505 ,1515 
2019/10/28,1521 ,1539 ,1521 ,1525 
2019/10/29,1548 ,1560 ,1526 ,1533 
2019/10/30,1524 ,1541 ,1510 ,1541 
2019/10/31,1531 ,1547 ,1482 ,1539 
2019/11/1,1515 ,1540 ,1510 ,1537 
2019/11/5,1587 ,1587 ,1528 ,1581 
2019/11/6,1582 ,1583 ,1561 ,1573 
2019/11/7,1586 ,1587 ,1563 ,1575 
2019/11/8,1600 ,1607 ,1542 ,1563 
2019/11/11,1594 ,1669 ,1594 ,1659 
2019/11/12,1660 ,1660 ,1600 ,1650 
2019/11/13,1660 ,1660 ,1597 ,1601 
2019/11/14,1601 ,1610 ,1567 ,1580 
2019/11/15,1578 ,1632 ,1563 ,1632 
2019/11/18,1632 ,1643 ,1612 ,1640 
2019/11/19,1650 ,1650 ,1612 ,1621 
2019/11/20,1599 ,1602 ,1570 ,1582 
2019/11/21,1576 ,1609 ,1568 ,1605 
2019/11/22,1610 ,1618 ,1570 ,1575 
2019/11/25,1584 ,1587 ,1569 ,1572 
2019/11/26,1586 ,1595 ,1570 ,1581 
2019/11/27,1592 ,1603 ,1578 ,1603 
2019/11/28,1599 ,1599 ,1560 ,1575 
2019/11/29,1576 ,1595 ,1572 ,1594 
2019/12/2,1610 ,1664 ,1603 ,1659 
2019/12/3,1645 ,1645 ,1581 ,1589 
2019/12/4,1570 ,1595 ,1558 ,1592 
2019/12/5,1602 ,1604 ,1589 ,1601 
2019/12/6,1601 ,1628 ,1601 ,1617 
2019/12/9,1628 ,1629 ,1610 ,1623 
2019/12/10,1623 ,1649 ,1623 ,1625 
2019/12/11,1633 ,1640 ,1587 ,1602 
2019/12/12,1629 ,1630 ,1599 ,1612 
2019/12/13,1635 ,1695 ,1632 ,1675 
2019/12/16,1658 ,1680 ,1646 ,1660 
2019/12/17,1688 ,1711 ,1676 ,1708 
2019/12/18,1707 ,1707 ,1645 ,1660 
2019/12/19,1660 ,1660 ,1629 ,1642 
2019/12/20,1642 ,1652 ,1583 ,1583 
2019/12/23,1602 ,1613 ,1595 ,1607 
2019/12/24,1609 ,1622 ,1595 ,1606 
2019/12/25,1600 ,1621 ,1570 ,1574 
2019/12/26,1599 ,1603 ,1578 ,1603 
2019/12/27,1615 ,1673 ,1615 ,1669 
2019/12/30,1653 ,1653 ,1615 ,1619 
2020/1/6,1571 ,1583 ,1559 ,1570 
2020/1/7,1591 ,1632 ,1562 ,1623 
2020/1/8,1593 ,1593 ,1550 ,1550 
2020/1/9,1580 ,1602 ,1574 ,1582 
2020/1/10,1566 ,1610 ,1566 ,1587 
2020/1/14,1581 ,1585 ,1511 ,1520 
2020/1/15,1506 ,1526 ,1500 ,1517 
2020/1/16,1516 ,1516 ,1500 ,1500 
2020/1/17,1500 ,1537 ,1500 ,1519 
2020/1/20,1527 ,1536 ,1520 ,1520 
2020/1/21,1520 ,1523 ,1497 ,1509 
2020/1/22,1509 ,1515 ,1499 ,1500 
2020/1/23,1500 ,1501 ,1472 ,1474 
2020/1/24,1463 ,1470 ,1430 ,1438 
2020/1/27,1411 ,1428 ,1395 ,1403 
2020/1/28,1394 ,1414 ,1374 ,1407 
2020/1/29,1401 ,1410 ,1392 ,1406 
2020/1/30,1396 ,1400 ,1381 ,1398 
2020/1/31,1405 ,1413 ,1397 ,1402 
2020/2/3,1365 ,1392 ,1365 ,1382 
2020/2/4,1472 ,1472 ,1420 ,1435 
2020/2/5,1442 ,1472 ,1439 ,1448 
2020/2/6,1486 ,1549 ,1474 ,1540 
2020/2/7,1539 ,1539 ,1480 ,1487 
2020/2/10,1460 ,1472 ,1437 ,1439 
2020/2/12,1439 ,1458 ,1427 ,1453 
2020/2/13,1452 ,1452 ,1425 ,1441 
2020/2/14,1440 ,1442 ,1425 ,1440 
2020/2/17,1433 ,1433 ,1401 ,1428 
2020/2/18,1428 ,1428 ,1376 ,1393 
2020/2/19,1380 ,1380 ,1362 ,1367 
2020/2/20,1368 ,1382 ,1362 ,1367 
2020/2/21,1361 ,1378 ,1347 ,1353 
2020/2/25,1276 ,1291 ,1256 ,1269 
2020/2/26,1243 ,1246 ,1222 ,1231 
2020/2/27,1210 ,1220 ,1180 ,1180 
2020/2/28,1150 ,1150 ,1102 ,1105 
2020/3/2,1100 ,1152 ,1091 ,1147 
2020/3/3,1205 ,1205 ,1126 ,1126 
2020/3/4,1097 ,1109 ,1083 ,1087 
2020/3/5,1097 ,1111 ,1068 ,1069 
2020/3/6,1039 ,1039 ,1013 ,1022 
2020/3/9,985 ,995 ,925 ,937 
2020/3/10,932 ,968 ,881 ,968 
2020/3/11,967 ,981 ,931 ,932 
2020/3/12,926 ,949 ,909 ,941 
2020/3/13,881 ,918 ,854 ,875 
2020/3/16,875 ,945 ,866 ,907 
2020/3/17,887 ,1047 ,887 ,1038 
2020/3/18,1062 ,1111 ,1042 ,1048 
2020/3/19,1048 ,1142 ,1048 ,1130 
2020/3/23,1127 ,1196 ,1077 ,1175 
2020/3/24,1205 ,1236 ,1153 ,1178 
2020/3/25,1238 ,1241 ,1123 ,1176 
2020/3/26,1206 ,1287 ,1168 ,1279 
2020/3/27,1339 ,1393 ,1293 ,1378 
2020/3/30,1360 ,1412 ,1317 ,1393 
2020/3/31,1382 ,1383 ,1321 ,1339 
2020/4/1,1327 ,1374 ,1306 ,1334 
2020/4/2,1300 ,1329 ,1284 ,1311 
2020/4/3,1273 ,1335 ,1251 ,1298 
2020/4/6,1272 ,1349 ,1258 ,1325 
2020/4/7,1355 ,1358 ,1295 ,1347 
2020/4/8,1345 ,1369 ,1315 ,1347 
2020/4/9,1338 ,1356 ,1279 ,1312 
2020/4/10,1319 ,1384 ,1313 ,1379 
2020/4/13,1359 ,1370 ,1342 ,1345 
2020/4/14,1345 ,1354 ,1313 ,1346 
2020/4/15,1338 ,1338 ,1230 ,1248 
2020/4/16,1229 ,1315 ,1216 ,1312 
2020/4/17,1319 ,1343 ,1278 ,1286 
2020/4/20,1287 ,1322 ,1282 ,1317 
2020/4/21,1265 ,1318 ,1265 ,1290 
2020/4/22,1282 ,1294 ,1252 ,1278 
2020/4/23,1279 ,1292 ,1242 ,1290 
2020/4/24,1289 ,1307 ,1261 ,1301 
2020/4/27,1310 ,1310 ,1276 ,1293 
2020/4/28,1297 ,1313 ,1274 ,1294 
2020/4/30,1312 ,1321 ,1277 ,1277 
2020/5/1,1259 ,1281 ,1249 ,1262 
2020/5/7,1275 ,1290 ,1245 ,1262 
2020/5/8,1292 ,1302 ,1267 ,1282 
2020/5/11,1280 ,1290 ,1255 ,1280 
2020/5/12,1280 ,1283 ,1256 ,1276 
2020/5/13,1261 ,1301 ,1255 ,1297 
2020/5/14,1286 ,1288 ,1248 ,1264 
2020/5/15,1262 ,1287 ,1241 ,1255 
2020/5/18,1256 ,1297 ,1238 ,1287 
2020/5/19,1290 ,1304 ,1237 ,1252 
2020/5/20,1246 ,1246 ,1215 ,1223 
2020/5/21,1225 ,1244 ,1211 ,1223 
2020/5/22,1230 ,1231 ,1200 ,1218 
2020/5/25,1239 ,1251 ,1213 ,1231 
2020/5/26,1241 ,1254 ,1229 ,1252 
2020/5/27,1252 ,1271 ,1227 ,1268 
2020/5/28,1283 ,1350 ,1283 ,1350 
2020/5/29,1344 ,1362 ,1309 ,1345 
2020/6/1,1344 ,1356 ,1312 ,1333 
2020/6/2,1343 ,1367 ,1327 ,1357 
2020/6/3,1378 ,1385 ,1357 ,1375 
2020/6/4,1400 ,1400 ,1360 ,1370 
2020/6/5,1371 ,1410 ,1366 ,1399 
2020/6/8,1400 ,1422 ,1391 ,1414 
2020/6/9,1423 ,1423 ,1369 ,1390 
2020/6/10,1396 ,1396 ,1366 ,1380 
2020/6/11,1356 ,1381 ,1349 ,1362 
2020/6/12,1333 ,1364 ,1310 ,1333 
2020/6/15,1338 ,1350 ,1286 ,1286 
2020/6/16,1312 ,1369 ,1304 ,1364 
2020/6/17,1360 ,1410 ,1352 ,1393 
2020/6/18,1393 ,1393 ,1339 ,1367 
2020/6/19,1368 ,1368 ,1334 ,1340 
2020/6/22,1346 ,1360 ,1329 ,1332 
