day,start,hight,low,end
2017/5/1,4530,4640,4525,4640
2017/5/2,4630,4680,4615,4640
2017/5/8,4700,4740,4680,4700
2017/5/9,4690,4720,4675,4685
2017/5/10,4710,4715,4680,4680
2017/5/11,4700,4725,4660,4705
2017/5/12,4695,4695,4590,4630
2017/5/15,4580,4620,4540,4615
2017/5/16,4615,4625,4585,4610
2017/5/17,4570,4575,4530,4545
2017/5/18,4475,4475,4370,4370
2017/5/19,4370,4420,4355,4395
2017/5/22,4405,4415,4375,4385
2017/5/23,4385,4410,4355,4370
2017/5/24,4375,4435,4355,4405
2017/5/25,4405,4445,4360,4365
2017/5/26,4365,4375,4300,4310
2017/5/29,4305,4325,4265,4265
2017/5/30,4305,4305,4225,4260
2017/5/31,4260,4270,4225,4240
2017/6/1,4240,4330,4240,4290
2017/6/2,4320,4450,4300,4450
2017/6/5,4410,4440,4360,4420
2017/6/6,4455,4510,4425,4440
2017/6/7,4445,4455,4410,4440
2017/6/8,4465,4490,4435,4445
2017/6/9,4445,4505,4400,4475
2017/6/12,4430,4525,4430,4435
2017/6/13,4440,4500,4430,4470
2017/6/14,4470,4510,4470,4470
2017/6/15,4470,4490,4405,4405
2017/6/16,4450,4490,4430,4435
2017/6/19,4455,4490,4430,4445
2017/6/20,4470,4555,4470,4490
2017/6/21,4475,4475,4410,4410
2017/6/22,4420,4435,4400,4410
2017/6/23,4410,4455,4380,4435
2017/6/26,4435,4460,4395,4425
2017/6/27,4425,4470,4425,4460
2017/6/28,4405,4500,4405,4475
2017/6/29,4500,4565,4490,4535
2017/6/30,4490,4525,4470,4480
2017/7/3,4520,4520,4450,4500
2017/7/4,4520,4550,4495,4510
2017/7/5,4475,4525,4470,4515
2017/7/6,4495,4540,4485,4525
2017/7/7,4480,4530,4470,4480
2017/7/10,4490,4520,4485,4490
2017/7/11,4510,4585,4500,4565
2017/7/12,4540,4545,4495,4500
2017/7/13,4500,4515,4440,4445
2017/7/14,4470,4510,4450,4495
2017/7/18,4495,4495,4405,4430
2017/7/19,4435,4435,4385,4390
2017/7/20,4400,4410,4355,4400
2017/7/21,4400,4410,4365,4395
2017/7/24,4355,4375,4300,4370
2017/7/25,4300,4375,4300,4315
2017/7/26,4355,4365,4315,4350
2017/7/27,4345,4360,4310,4330
2017/7/28,4340,4355,4315,4345
2017/7/31,4310,4335,4290,4295
2017/8/1,4330,4385,4315,4380
2017/8/2,4370,4400,4330,4350
2017/8/3,4330,4355,4315,4335
2017/8/4,4365,4395,4325,4395
2017/8/7,4415,4420,4350,4380
2017/8/8,4410,4425,4365,4390
2017/8/9,4405,4405,4320,4355
2017/8/10,4370,4390,4320,4390
2017/8/14,4360,4370,4310,4310
2017/8/15,4380,4420,4350,4360
2017/8/16,4340,4355,4310,4315
2017/8/17,4320,4330,4290,4310
2017/8/18,4280,4310,4255,4300
2017/8/21,4300,4300,4255,4290
2017/8/22,4285,4300,4265,4270
2017/8/23,4290,4320,4230,4245
2017/8/24,4235,4265,4225,4235
2017/8/25,4260,4290,4240,4275
2017/8/28,4270,4285,4230,4260
2017/8/29,4270,4280,4170,4270
2017/8/30,4255,4275,4240,4260
2017/8/31,4295,4350,4270,4305
2017/9/1,4360,4390,4300,4375
2017/9/4,4360,4390,4260,4260
2017/9/5,4275,4285,4205,4210
2017/9/6,4190,4190,4115,4150
2017/9/7,4195,4230,4175,4190
2017/9/8,4190,4190,4150,4165
2017/9/11,4200,4245,4180,4190
2017/9/12,4260,4260,4175,4185
2017/9/13,4190,4275,4190,4250
2017/9/14,4230,4290,4230,4240
2017/9/15,4265,4350,4240,4330
2017/9/19,4330,4385,4305,4375
2017/9/20,4375,4385,4350,4370
2017/9/21,4380,4425,4355,4375
2017/9/22,4415,4430,4355,4415
2017/9/25,4425,4490,4405,4475
2017/9/26,4475,4490,4435,4485
2017/9/27,4430,4470,4415,4460
2017/9/28,4460,4485,4460,4485
2017/9/29,4480,4550,4475,4545
2017/10/2,4520,4570,4495,4550
2017/10/3,4575,4580,4535,4575
2017/10/4,4545,4575,4525,4570
2017/10/5,4570,4585,4550,4560
2017/10/6,4585,4600,4555,4580
2017/10/10,4580,4595,4540,4595
2017/10/11,4595,4605,4560,4575
2017/10/12,4585,4585,4520,4530
2017/10/13,4520,4565,4485,4555
2017/10/16,4555,4700,4530,4680
2017/10/17,4700,4720,4665,4695
2017/10/18,4695,4700,4630,4695
2017/10/19,4670,4695,4660,4680
2017/10/20,4675,4690,4625,4655
2017/10/23,4665,4720,4665,4700
2017/10/24,4720,4750,4695,4740
2017/10/25,4730,4785,4695,4710
2017/10/26,4695,4700,4630,4640
2017/10/27,4640,4760,4620,4700
2017/10/30,4730,4730,4635,4695
2017/10/31,4695,4710,4655,4655
2017/11/1,4670,4670,4600,4640
2017/11/2,4620,4670,4555,4660
