Eop,Sales,pSales
2019/9/30,453611.0 ,111759.0 
2019/6/30,341852.0 ,113668.0 
2019/3/31,228184.0 ,117329.0 
2018/12/31,110855.0 ,110855.0 
2018/9/30,419512.0 ,107552.0 
2018/6/30,311960.0 ,104465.0 
2018/3/31,207495.0 ,109581.0 
2017/12/31,97914.0 ,97914.0 
2017/9/30,371362.0 ,101876.0 
2017/6/30,269486.0 ,89594.0 
2017/3/31,179892.0 ,93321.0 
2016/12/31,86571.0 ,86571.0 
2016/9/30,300000.0 ,74952.0 
2016/6/30,225048.0 ,76408.0 
2016/3/31,148640.0 ,74610.0 
2015/12/31,74030.0 ,74030.0 
2015/9/30,254381.0 ,69266.0 
2015/6/30,185115.0 ,61154.0 
2015/3/31,123961.0 ,60510.0 
2014/12/31,63451.0 ,63451.0 
2014/9/30,205234.0 ,57782.0 
2014/6/30,147452.0 ,51290.0 
2014/3/31,96162.0 ,52447.0 
2013/12/31,43715.0 ,43715.0 
2013/9/30,162493.0 ,42239.0 
2013/6/30,120254.0 ,38062.0 
2013/3/31,82192.0 ,41367.0 
2012/12/31,40825.0 ,40825.0 
2012/9/30,141111.0 ,39209.0 
2012/6/30,101902.0 ,33792.0 
2012/3/31,68110.0 ,35964.0 
2011/12/31,32146.0 ,32146.0 
2011/9/30,119578.0 ,30958.0 
2011/6/30,88620.0 ,29169.0 
2011/3/31,59451.0 ,30681.0 
2010/12/31,28770.0 ,28770.0 
2010/9/30,96650.0 ,26381.0 
2010/6/30,70269.0 ,24612.0 
2010/3/31,45657.0 ,24238.0 
2009/12/31,21419.0 ,21419.0 
2009/9/30,93897.0 ,23755.0 
2009/6/30,70142.0 ,23099.0 
2009/3/31,47043.0 ,23700.0 
2008/12/31,23343.0 ,23343.0 
2008/9/30,87097.0 ,20000.0 
