項目：第３次産業活動指数【年・年度・四半期】業種別原指数（2015＝100.0）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
品目番号,品目名称,ウエイト,2013CY,2014CY,2015CY,2016CY,2017CY,2018CY,2019CY,,2013FY,2014FY,2015FY,2016FY,2017FY,2018FY,2019FY,,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3
K1D000000I,第３次産業総合,10000,100.2,99.6,100,100.6,101.5,102.8,103.1,,100.8,99.2,100.3,100.5,101.9,103,102.3,,99.6,98.1,100.8,102.3,101.8,96.2,99.3,101.1,100.2,97.7,100.4,101.7,101.3,97.9,100.8,102.4,101.1,99.4,101.8,103.8,102.5,100.6,102.6,105.4,103.4,101.3,104.6,102.9,100.5,88.1,95.6
DA00000I,　電気・ガス・熱供給・水道業,378.3,104,102.6,100,100.6,100.6,101.2,99.5,,104.3,102,100.6,99.9,100.9,100.6,99.1,,108.6,96.3,108,103,109.9,95.2,103.7,101.8,107.1,93.4,102.2,97.3,109.5,91,102.7,99,106.9,91.7,102.4,101.3,108.2,91.9,105.9,98.8,105.6,91.7,103,97.7,103.9,87.4,100.5
DAA0000I,　　電気業,244.5,105.7,103.5,100,99.6,98.7,99.8,97.6,,106.1,102.7,100.7,98.2,99.2,99,96.9,,110.5,96.2,111.8,104.2,112.1,94.3,105.4,102.2,108.6,92.1,103.2,96.1,111.4,87.8,102.8,96.4,105.6,87.7,102.5,99.1,107.3,89,106.8,96,104,88.2,103.3,94.7,101.3,83.8,100.9
DAB0000I,　　ガス業,47.8,100.1,101.9,100,106.1,110,109,107.9,,100.5,101.2,100.7,108.6,110.3,108.3,107.4,,118.4,89.7,91.9,100.5,119.9,91.5,93.7,102.7,116.9,89.2,94.8,99,119.6,93.3,101.5,110.2,129.3,97.8,99.5,113.4,130.4,92.6,103.2,109.6,127.6,96.4,100.2,107.6,125.3,88,92.7
DAC0000I,　　熱供給業,2.8,106.2,101.5,100,102.5,103.6,107.1,106.7,,106.7,100.7,99.4,103.1,104.1,106.3,105.5,,101.8,85.3,155.6,82,104,84.6,138.6,78.8,100.8,86.1,138.8,74.4,98.4,84,147,80.7,100.9,84,147.5,82.1,103,86.4,158.9,80.2,99.8,85.3,157.7,83.9,95.2,72.6,145.1
DAD0000I,　　水道業,83.2,101.1,100.5,100,100.1,100.5,100.7,100.2,,101.1,100.4,100.3,100,100.6,100.6,100.6,,97.7,100.7,104.4,101.6,97.7,100.2,103,101,97.3,100,102.1,100.7,98.4,99.4,101.6,100.8,98,100.2,102.5,101.3,98.4,100.2,102.8,101.5,97.8,99.6,101.8,101.5,99.5,98.1,102.4
DB00000I,　情報通信業,946.9,99,99.9,100,101.4,102.6,104.6,105.6,,100.2,99.6,100.1,101.8,102.8,105.1,105.5,,107,91.5,99.5,97.9,111.9,90.7,98.2,98.7,110.7,92.2,98.2,98.9,111.2,94.1,99.7,100.8,112.6,95.3,100.9,101.5,113.6,97.9,102.5,104.4,115.6,99,105.4,102.3,115.2,95.1,99.7
DBA0000I,　　通信業,323.2,97.7,100,100,103,105.4,111.9,112.4,,99.6,99.7,100.4,103.7,107.1,112.4,112.1,,97.4,95.6,97.5,100.4,105,93.3,97.7,104.1,103.7,96.7,97,102.6,105.2,99.4,101.2,106.2,108.1,101.7,102.9,108.9,115.1,109.3,109.1,113.9,117.3,109.9,110,112.4,116.1,106.8,108.2
DBB0000I,　　放送業,72.8,98.8,100.7,100,101.1,99.9,101.3,99.7,,100.9,99.7,100.4,100.9,100.3,101.6,98,,96.6,95.8,99.6,103.3,105.1,98.7,98.8,100.4,100.9,97.3,100.1,101.8,102.5,98.9,101.1,101.9,101.8,97.2,98.6,101.9,103.3,98.8,100.4,102.6,104.7,99.1,98.3,96.8,97.9,83.3,87.2
DBC0000I,　　情報サービス業,405.2,98.9,99.2,100,101,102.4,102.9,105.7,,99.8,99.1,100,101.3,101.9,103.6,106.4,,117.6,84.8,99.9,93.3,121.1,84.5,97.4,93.8,120.8,86.3,98,94.9,120.7,88.3,98.3,96.5,122.2,89.7,101,96.7,120.2,90.3,100.2,100.7,123.3,93,106.9,99.4,126.1,93.6,100.1
DBCA000I,　　　ソフトウェア業,243.8,98.3,98.4,100,99.6,101.8,102.3,105.6,,99.2,98.8,99.5,99.9,101.2,103.5,106.2,,119.6,79.4,101.2,93,123,79.6,98,93.1,124.4,81.9,98.6,95.1,122.5,82.1,97.7,96.2,123.6,85.6,102.1,95.9,121.2,85.9,100,102,126.1,89.4,107.7,99.4,128.2,92.9,102.7
DBCA100I,　　　　受注ソフトウェア,196.3,97.9,97.8,100,98.4,97.4,96.1,100,,98.5,98.5,99.2,98,96.3,97.7,99.3,,120.4,80.3,100.5,90.4,122.7,80.1,98.3,90.2,125.4,82.5,99.4,92.7,122.3,82.1,97.9,91.3,120.6,82.7,97.5,88.9,116.1,81.5,96,91,122.3,84.8,101.6,91.4,119.3,79.7,92.9
DBCA200I,　　　　ソフトウェアプロダクト,47.5,99.9,101,100,104.8,119.9,127.6,128.6,,101.9,99.9,100.9,108,121.5,127.4,134.6,,116.2,75.7,104.1,103.5,124.4,77.4,97,105.2,120.1,79.4,95.6,105,123.6,81.9,97.2,116.5,136.1,97.5,121.1,124.9,142.4,104,116.7,147.2,141.5,107.9,132.8,132.3,165.2,147.4,143.4
DBCA210I,　　　　　ゲームソフト,15.4,95.5,95.5,100,111.8,151,171.9,175.5,,97.2,94.5,102.5,123.2,156.2,170.5,188.2,,100,56.8,103.1,121.9,106.8,61.6,90.3,123.4,102.7,66.6,90.1,140.6,112.6,69.6,96.1,168.8,158.1,110.9,161.8,173.1,179.2,118.7,152,237.5,173.7,122.4,191.4,214.4,224.7,204.7,225.8
DBCA220I,　　　　　ソフトウェアプロダクト（除くゲームソフト）,32.1,102,103.6,100,101.5,105,106.3,106.2,,104.2,102.5,100.1,100.7,104.8,106.7,108.8,,123.9,84.7,104.6,94.7,132.8,85,100.2,96.5,128.4,85.5,98.2,87.8,128.9,87.9,97.8,91.4,125.6,91.1,101.6,101.9,124.7,96.9,99.8,103.9,126.1,101,104.7,92.9,136.7,119.9,103.8
DBCB000I,　　　情報処理・提供サービス業,161.4,99.8,100.4,100,103,103.3,103.8,105.8,,100.7,99.7,100.6,103.5,102.9,103.8,106.7,,114.5,93,97.9,93.9,118.2,91.9,96.6,94.9,115.6,92.9,97,94.5,117.9,97.7,99.2,97,120.2,95.8,99.2,98,118.7,96.8,100.5,98.9,119.1,98.6,105.8,99.5,122.8,94.8,96.3
DBCB100I,　　　　システム等管理運営受託,32.9,95,97.2,100,104,108.4,111.6,112.5,,96,97.7,101,104.5,110.2,111.7,112.9,,99.6,90.6,96.2,93.6,103.4,91.6,98.6,95.1,105.5,96.8,100.5,97.2,109.3,99.3,105,102.3,111.5,104.2,109.5,108.4,118.7,106.3,111.3,110.1,119.1,109.1,114.7,107.2,120.7,106.4,109.8
DBCB200I,　　　　その他の情報処理・提供サービス業,128.5,101,101.2,100,102.7,102,101.7,104,,101.9,100.3,100.5,103.3,101.1,101.8,105.1,,118.3,93.6,98.3,93.9,121.9,92,96.1,94.8,118.1,92,96.1,93.8,120.1,97.3,97.7,95.7,122.4,93.6,96.6,95.3,118.8,94.4,97.7,96.1,119.1,95.8,103.5,97.6,123.3,91.9,92.8
DBD0000I,　　インターネット附随サービス業,32.8,82.4,89.9,100,104.7,109.5,110.5,110,,84.4,92.1,101.1,105.9,109.8,110.6,110.4,,82.7,81.8,79,86.2,90.5,87.1,89.6,92.3,99.4,99.6,98.2,102.8,103.9,102.9,104.4,107.7,108.7,107.1,110,112.4,109.8,110.1,109.8,112.3,110.4,108,110.7,110.9,112.2,111.3,117.5
