項目：第３次産業活動指数【四半期】業種別季調済指数（2015＝100.0）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
品目番号,品目名称,ウエイト,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3
K1D000000I,第３次産業総合,10000,99.7,100.3,100.4,100.5,101.7,98.5,99.1,99.3,99.9,100,100.2,99.9,100.7,100.1,100.6,100.7,100.8,101.6,101.6,102,102.2,102.9,102.5,103.4,103.5,103.6,104.4,101.2,100.1,90,95.6
DA00000I,　電気・ガス・熱供給・水道業,378.3,102.8,104.2,104.8,104.5,103.7,103.3,101,103.1,100.7,101.6,99.7,98.5,101.3,99.2,100.4,100.3,100,100.3,99.9,102.4,101.1,100.7,103.1,100.1,99.1,100.3,100.2,98.9,96.6,95.5,97.6
DAA0000I,　　電気業,244.5,103.9,105.9,107,106.5,105,104.1,101.4,104.1,101.4,102.1,99.3,98,102.2,97.6,99.1,98.3,98.1,97.9,98.3,101,99.4,99.7,102.2,98,96.8,98.4,98.9,96.6,93.5,93.4,96.3
DAB0000I,　　ガス業,47.8,100.9,99.8,99,100,102.4,102.1,100.8,102.2,99.5,100,102.3,98.7,102.3,104.8,109.5,110.1,110,109.6,106.8,112.2,111.3,104,110.7,108.6,109.1,108.8,107.6,107,107.4,98.4,100
DAC0000I,　　熱供給業,2.8,104.3,104.8,108,106.9,105.6,102.7,97.3,100.7,103.1,106.8,98,97.3,98.6,102.1,104,106,102,102.3,104.6,105.4,105.8,104.6,110.6,104,103,105.8,109.5,109.3,99.1,88.3,100.3
DAD0000I,　　水道業,83.2,100.9,101.1,101.5,101.1,100.7,100.6,100.5,100.4,100.2,100.4,99.7,100.1,100.1,99.8,99.4,100.2,100.7,100.6,100.3,100.8,100.9,100.6,100.7,100.8,100.4,100.2,99.6,100.8,101,98.8,100.2
DB00000I,　情報通信業,946.9,97.7,98.7,100.4,99.4,101.7,97.8,99.2,100.1,100.3,99.4,99.8,100.3,100.9,101.3,101.5,102.2,102.2,102.4,103,102.9,103.4,105,104.7,105.9,105.5,106.1,106.8,104,105,101.7,101.1
DBA0000I,　　通信業,323.2,97.7,98.1,98.6,96.9,104.2,96.2,99.2,100.9,101.9,99.8,98.8,100,102.5,102.5,103.5,104.1,104.7,104.7,105.5,107.2,111,112.2,112.1,112.4,112.8,112.6,113.1,111.3,111.5,109.4,111.3
DBB0000I,　　放送業,72.8,98.4,96.2,99,102.3,105.8,100.1,98.6,99.1,100.4,99.3,100.3,100.4,101.4,101.1,101.7,100.6,100,99.6,99.4,100.6,101.3,101.3,101.3,101.3,102.2,101.1,99.3,96.4,95.4,85,88.2
DBC0000I,　　情報サービス業,405.2,97.1,98.3,100.4,99.6,100.3,97.7,98,99.7,99.7,99.4,99.7,100.4,100.3,101.4,100.6,101.9,102.4,102.8,103.3,101.7,101.4,103.2,102.7,105.7,104.3,105.8,107.8,104.9,106.2,106.9,101.4
DBCA000I,　　　ソフトウェア業,243.8,96.2,97.1,100.5,99.1,99.6,96.9,97.3,98.5,99.6,99,99.7,100,99.6,99,99.2,101,101.3,102.7,103.6,100.1,100.1,102.5,101.9,106.4,104.4,106.3,107.6,104.5,105.7,111.7,103.9
DBCA100I,　　　　受注ソフトウェア,196.3,96.3,97.3,98.9,98.9,98.6,96.8,96.9,98,100.6,99.3,98.9,100.6,98.5,98.6,97.9,98.6,98.7,98.9,97.4,95.4,94.6,96.7,95.7,97.5,99.7,100,101,98.8,96.8,94.1,93.2
DBCA200I,　　　　ソフトウェアプロダクト,47.5,97.1,95.5,105.4,101,104.8,97.7,97.6,101.7,97.8,99.4,100.6,100.3,102.1,102.7,102.3,111.1,114.1,120.8,127.9,119.1,123,128.5,125,140.3,123.7,132,136.1,125.6,140.8,180,148.1
DBCA210I,　　　　　ゲームソフト,15.4,95.4,82.4,108.2,92.1,103.3,89.6,92.6,93.7,95.1,96,98.7,109.7,103.5,99.8,103.4,131,144,157.3,177.2,136.8,164.1,167.9,164.7,188.6,163.7,173.8,196.2,169,213.8,287.9,232.9
DBCA220I,　　　　　ソフトウェアプロダクト（除くゲームソフト）,32.1,102.9,100.5,104.2,106.5,105.4,99.7,100.8,106.1,100.5,99.8,100.5,97.5,101.7,101.1,101.2,100.8,100.9,104.2,104.6,110,102.8,109.8,105.4,110.7,104.5,111.1,107.8,103.3,112.7,130.4,107.8
DBCB000I,　　　情報処理・提供サービス業,161.4,98.7,99.8,100.4,100.2,101.5,98.8,99.1,101,99.5,100,99.9,100.4,101.1,105.1,102.7,103.1,103.7,103.2,102.7,104.1,102.7,104.3,104.2,104.9,104.1,105.8,108.6,105,106.9,101.7,98.7
DBCB100I,　　　　システム等管理運営受託,32.9,93.7,93.5,96,96.7,97.2,94.9,98.3,98.1,99.1,100.4,100.1,100.1,102.8,103.2,104.8,105.2,104.7,108.3,109.3,111.3,111.6,110.5,111.5,112.9,112.3,113.8,114.5,109.4,113.8,111,109.6
DBCB200I,　　　　その他の情報処理・提供サービス業,128.5,100,101.3,101.5,101.3,102.5,99.6,99.2,102.1,99.6,99.7,99.9,100.7,100.7,105.5,102.1,102.7,103.5,101.6,101,102.3,100.7,102.5,102.3,102.8,101.9,103.9,107.2,103.9,104.8,99.5,96.1
DBD0000I,　　インターネット附随サービス業,32.8,81.3,82.4,80.4,85.6,89.2,87.7,90.7,91.9,97.8,100.3,99.7,102.1,102.7,103.6,105.5,106.7,107.9,107.9,110.9,111.3,109.2,110.9,110.7,111.3,109.9,109.3,111.5,108.9,112.1,112.7,118.2
DBDA100I,　　　サイト運営業務,19,82.3,84,81.4,87.5,92,92.5,93.9,92.4,97.5,100,101,101.3,102.7,104.4,107.2,109,110.8,109.4,112.3,114.2,112.8,115.4,114.7,114.2,113.8,112.4,115.8,113.6,115.8,114.1,120.8
DBDA200I,　　　コンテンツ配信業務,11.9,78.3,77.6,77.6,79,82.3,78.5,85.6,88.9,98.9,101,97.5,102.3,104.1,103,103.5,102.5,103.9,106.2,109.1,106.4,104.7,104.2,103.5,103.2,101.6,100.2,99.2,98,103.2,108.1,111.5
DBDA300I,　　　その他のインターネット附随サービス業,1.9,91.8,93.7,91.8,103.8,100.9,99.6,100.6,95.8,98,99.2,101,101.1,98.4,100.5,103.6,103.5,106.1,104.6,110.4,107.5,107.6,110.2,112.9,122,123.1,139.1,142.6,126.9,128.4,130.7,132.4
DBE0000I,　　映像・音声・文字情報制作業,112.9,107.8,108.7,108.1,106.7,106.7,105.6,102.9,100.7,101.4,99,100.2,99.3,99.3,98.1,96.8,97.7,96.6,96,93.4,93.1,91.4,91.5,90.6,88.3,89.4,89.8,89.1,85.3,83.8,71.7,75.6
DBEB000I,　　　映像情報制作・配給業,44.6,107.1,104.4,106.5,106.2,107.3,106.6,103,98.5,101,97.9,100.9,100.3,100.4,99,97.8,101.9,99.2,100.2,95.6,95.8,95.2,96,96,92.8,97.8,98.3,99.3,94.3,90.5,69.5,74
DBEB100I,　　　　ビデオ制作・配給業,8.6,126,125.3,122.1,116.5,115.7,97.8,119.9,101,108.8,89.9,98.4,105.2,104.9,95.4,87.6,93,86.5,98.8,84.9,84.6,87.6,82.2,93.8,74.3,76.7,75.1,68.6,76.3,67.9,64.3,61.4
DBEB200I,　　　　映画制作・配給業,10.1,103.3,82,102.3,101.9,101.2,117.4,97.1,90.7,96.4,96.7,106.7,99.6,94.4,101.7,109.9,121.8,116.5,110.8,102.1,101.6,95.2,98.6,94.9,102.8,116.4,120,126.1,111.9,86.4,7.7,47.5
DBEB300I,　　　　テレビ番組制作・配給業,25.9,103.6,105.3,104.7,104.2,108.3,102.7,100.6,100.7,101.5,99.3,100.3,98.8,99.2,98,98.1,98.6,97.3,97,98,98,98.2,99.3,98.2,96,97.8,97.9,97.5,94.7,97.2,97.2,90.1
DBEC000I,　　　音声情報制作業,6.9,110.4,118.5,114.4,103,115.3,102.1,96.5,97.7,109.6,98.2,98.2,94.3,99,99,94.9,98,97.4,89.1,89.9,103.3,84.3,92,86.9,80.2,80.3,95.4,84.1,75.3,77.6,44.4,80.8
DBEC100I,　　　　レコード制作業,6,112.4,123.4,118.3,105,113.6,106.9,98.1,98.2,111.1,102.5,97.9,94.6,96.2,96.8,92.4,94.2,98.6,86.3,86.9,100.3,84.7,90.8,86.7,77.6,79.3,95,84.5,75.9,74.9,41.1,81.2
DBEC200I,　　　　ラジオ番組制作業,0.9,106.5,106.3,104.1,101.9,104.1,102.1,102.2,101.8,99.4,98.7,99.8,101.9,102.2,104.5,101.4,101.9,100.2,98.8,96.9,96.4,92.9,92,92.6,89.9,89.7,89.2,87.4,83.5,84.7,70.8,74.1
DBED100I,　　　新聞業,32.5,108.6,108.4,107.6,106.9,106.1,104.3,102.9,101.6,100.6,100.2,99.9,99.2,98.4,97.8,97.1,96.6,96,95,93.9,92.7,91.4,90.3,89.2,88,86.8,85.3,84.1,83.1,82,79.6,77.7
DBED200I,　　　出版業,28.9,109.7,111.4,109.2,108.2,106.2,105.2,104,104.1,102.8,98.9,99.8,98.7,98.6,96.3,95.4,92.7,94,91.6,89.4,87.8,87.2,85.4,84.1,84.7,83.1,80.5,78.5,76.7,77,73,74.5
DBED210I,　　　　週刊誌,1.5,127.4,126.8,121.6,116.7,117.7,115.3,112.2,111.6,105.3,100.6,98,96,92.7,89.9,90.2,84.4,86.3,83.1,81.2,77.1,77.7,75.8,73.4,72.1,70.3,68.6,68.5,64.6,65,59.1,58.7
DBED220I,　　　　月刊誌,7.1,108.6,112.1,111.1,108.9,107.3,106.7,106.1,105.9,105,100.7,98.8,95.9,94.8,93.1,90.5,90.6,88,86.6,82.8,79.9,77.9,75.1,73.5,72.5,70.3,68.2,68,67.1,65.6,65,64.5
DBED230I,　　　　書籍,20.3,108.7,109.8,107.6,107.5,105,103.5,102.7,102.8,102,97.9,100.3,100,100.4,97.7,97.5,94.1,96.3,93.9,92.6,91.1,91.1,89.8,88.5,90,86.9,85.8,83.2,82.3,80.2,76.8,79.6
