day,start,hight,low,end
2010/4/1,5350 ,5430 ,5310 ,5420 
2010/4/2,5420 ,5420 ,5330 ,5350 
2010/4/5,5370 ,5370 ,5310 ,5330 
2010/4/6,5380 ,5380 ,5270 ,5300 
2010/4/7,5330 ,5400 ,5330 ,5380 
2010/4/8,5370 ,5380 ,5330 ,5340 
2010/4/9,5290 ,5320 ,5290 ,5300 
2010/4/12,5360 ,5370 ,5300 ,5330 
2010/4/13,5360 ,5360 ,5280 ,5300 
2010/4/14,5350 ,5370 ,5280 ,5280 
2010/4/15,5290 ,5340 ,5270 ,5330 
2010/4/16,5350 ,5350 ,5250 ,5280 
2010/4/19,5210 ,5230 ,5150 ,5190 
2010/4/20,5230 ,5320 ,5230 ,5310 
2010/4/21,5320 ,5380 ,5320 ,5360 
2010/4/22,5370 ,5370 ,5210 ,5260 
2010/4/23,5260 ,5260 ,5210 ,5260 
2010/4/26,5290 ,5350 ,5290 ,5330 
2010/4/27,5330 ,5340 ,5250 ,5250 
2010/4/28,5160 ,5200 ,5130 ,5140 
2010/4/30,5200 ,5240 ,5170 ,5170 
2010/5/6,5110 ,5140 ,5050 ,5110 
2010/5/7,5010 ,5010 ,4925 ,4955 
2010/5/10,4955 ,5090 ,4930 ,5030 
2010/5/11,5100 ,5100 ,4970 ,4995 
2010/5/12,5000 ,5020 ,4985 ,5000 
2010/5/13,5000 ,5040 ,4975 ,5020 
2010/5/14,5000 ,5050 ,4965 ,4975 
2010/5/17,4960 ,4990 ,4890 ,4975 
2010/5/18,5010 ,5030 ,4965 ,4975 
2010/5/19,4925 ,4965 ,4850 ,4965 
2010/5/20,4910 ,4945 ,4890 ,4930 
2010/5/21,4885 ,4885 ,4765 ,4825 
2010/5/24,4895 ,4895 ,4765 ,4805 
2010/5/25,4805 ,4920 ,4700 ,4895 
2010/5/26,4870 ,4910 ,4735 ,4835 
2010/5/27,4780 ,4810 ,4760 ,4785 
2010/5/28,4800 ,4800 ,4735 ,4740 
2010/5/31,4740 ,4810 ,4740 ,4810 
2010/6/1,4810 ,4850 ,4805 ,4835 
2010/6/2,4765 ,4790 ,4735 ,4745 
2010/6/3,4760 ,4830 ,4760 ,4820 
2010/6/4,4790 ,4825 ,4790 ,4825 
2010/6/7,4775 ,4780 ,4700 ,4700 
2010/6/8,4680 ,4725 ,4645 ,4705 
2010/6/9,4690 ,4755 ,4690 ,4755 
2010/6/10,4770 ,4780 ,4755 ,4770 
2010/6/11,4840 ,4840 ,4770 ,4810 
2010/6/14,4845 ,4850 ,4825 ,4830 
2010/6/15,4845 ,5030 ,4810 ,4885 
2010/6/16,4955 ,4955 ,4895 ,4930 
2010/6/17,4895 ,4945 ,4880 ,4915 
2010/6/18,4940 ,4985 ,4925 ,4980 
2010/6/21,5040 ,5090 ,5020 ,5080 
2010/6/22,5080 ,5130 ,5050 ,5120 
2010/6/23,5100 ,5100 ,4995 ,5030 
2010/6/24,5010 ,5060 ,4985 ,5000 
2010/6/25,5000 ,5060 ,4970 ,5010 
2010/6/28,5000 ,5060 ,5000 ,5060 
2010/6/29,5050 ,5050 ,5010 ,5040 
2010/6/30,4990 ,5030 ,4935 ,5010 
2010/7/1,4975 ,4985 ,4940 ,4975 
2010/7/2,5000 ,5010 ,4945 ,4980 
2010/7/5,4970 ,4975 ,4915 ,4940 
2010/7/6,4895 ,4990 ,4880 ,4975 
2010/7/7,4940 ,5030 ,4925 ,5010 
2010/7/8,5060 ,5090 ,5060 ,5070 
2010/7/9,5100 ,5100 ,5040 ,5070 
2010/7/12,5040 ,5040 ,4950 ,4990 
2010/7/13,5030 ,5030 ,4960 ,4960 
2010/7/14,5020 ,5030 ,4960 ,4970 
2010/7/15,5000 ,5000 ,4855 ,4855 
2010/7/16,4820 ,4820 ,4765 ,4810 
2010/7/20,4745 ,4810 ,4715 ,4790 
2010/7/21,4860 ,4895 ,4830 ,4840 
2010/7/22,4835 ,4870 ,4820 ,4855 
2010/7/23,4925 ,4945 ,4895 ,4895 
2010/7/26,4945 ,4975 ,4915 ,4915 
2010/7/27,4920 ,4985 ,4915 ,4955 
2010/7/28,4980 ,5000 ,4970 ,5000 
2010/7/29,5010 ,5020 ,4920 ,4920 
2010/7/30,4920 ,4920 ,4760 ,4810 
2010/8/2,4810 ,4855 ,4805 ,4810 
2010/8/3,4870 ,4895 ,4810 ,4840 
2010/8/4,4805 ,4830 ,4715 ,4755 
2010/8/5,4785 ,4895 ,4785 ,4850 
2010/8/6,4810 ,4935 ,4810 ,4915 
2010/8/9,4900 ,4900 ,4860 ,4900 
2010/8/10,4910 ,4925 ,4825 ,4850 
2010/8/11,4820 ,4835 ,4705 ,4735 
2010/8/12,4665 ,4770 ,4650 ,4725 
2010/8/13,4730 ,4805 ,4710 ,4800 
2010/8/16,4775 ,4825 ,4760 ,4810 
2010/8/17,4800 ,4805 ,4725 ,4745 
2010/8/18,4785 ,4885 ,4770 ,4870 
2010/8/19,4875 ,4900 ,4855 ,4880 
2010/8/20,4815 ,4820 ,4725 ,4730 
2010/8/23,4740 ,4745 ,4670 ,4680 
