day,start,hight,low,end
2017/4/3,699.3,699.4,687.3,694.3
2017/4/4,680.6,684.7,678.1,683.3
2017/4/5,687.7,688.5,671.1,676.8
2017/4/6,665.2,671.4,661.7,665.4
2017/4/7,668.9,678,663.3,667.7
2017/4/10,673.5,682.5,671,679
2017/4/11,673.2,674.8,667.7,673.8
2017/4/12,660,664,656.2,663.7
2017/4/13,651.5,656.6,648.8,654.7
2017/4/14,646,655.6,643,652.2
2017/4/17,649.5,652.6,642.2,650.2
2017/4/18,663.8,665,654.6,655.9
2017/4/19,648.1,662.6,644.1,655.4
2017/4/20,660,674.5,658.8,666.6
2017/4/21,680,682.8,674.5,678.4
2017/4/24,689,695.2,687.7,688
2017/4/25,689.2,704.1,688,703.1
2017/4/26,716,720,711.3,720
2017/4/27,716.7,723,712.5,721.7
2017/4/28,717,719,706,709.2
2017/5/1,705.1,711.7,702.4,711.7
2017/5/2,712.3,718.7,712.2,715.9
2017/5/8,729,734.3,726.1,734.3
2017/5/9,733,733.5,725.5,728.4
2017/5/10,730.1,731.7,726.4,727.7
2017/5/11,730.3,739.6,727,739.4
2017/5/12,733.2,734.8,726.8,730
2017/5/15,720,723.1,714.1,721.5
2017/5/16,731.1,733.2,715.5,719.7
2017/5/17,711.8,716.3,704.6,709.5
2017/5/18,683.7,684.8,680,680.8
2017/5/19,683.6,693.1,681.6,689.9
2017/5/22,695,697.8,693.1,695.6
2017/5/23,690.5,694.3,687.4,691.3
2017/5/24,702.6,705,698.2,701
2017/5/25,701.4,704.8,697.6,701.5
2017/5/26,701.2,702.5,695.2,695.2
2017/5/29,695.2,701.2,693.7,697.9
2017/5/30,698,698.8,693.4,696.5
2017/5/31,690,691.4,687.4,690.9
2017/6/1,685.1,695.4,684.2,691.3
2017/6/2,700,722,698.7,721.6
2017/6/5,713.6,718.5,710.6,711.5
2017/6/6,712.2,720.7,709.1,710.7
2017/6/7,709,715.5,706.1,714.5
2017/6/8,721.6,735.8,719.8,723
2017/6/9,731.9,738,728.1,734.7
2017/6/12,742,748.3,732,733.3
2017/6/13,732.5,737.2,729.4,734
2017/6/14,740.9,741.9,729.3,729.3
2017/6/15,720.5,727.9,715,715
2017/6/16,721,730,720,722.6
2017/6/19,719.9,727.6,718.3,725.2
2017/6/20,734,739.9,729.6,729.6
2017/6/21,726.5,728,718.4,719.8
2017/6/22,721.2,727,720.1,723.2
2017/6/23,724,725.9,719.1,723.9
2017/6/26,723.2,729.7,720.3,726.9
2017/6/27,730.5,734.8,728,728.3
2017/6/28,738,749,737,747.2
2017/6/29,777.2,777.7,754,755.2
2017/6/30,755,761,750.6,754.8
2017/7/3,754.8,758.8,749,757.1
2017/7/4,770,770.7,757.1,759.3
2017/7/5,758.1,766.5,757.2,766.2
2017/7/6,767.1,767.1,758.7,761.2
2017/7/7,756.1,760.8,752.1,754
2017/7/10,757.8,758.5,745.7,749.3
2017/7/11,749,752.4,745.4,751.4
2017/7/12,744.8,745.8,738.3,738.4
2017/7/13,739.9,740.2,726.4,727.1
2017/7/14,731.9,736.3,729,731.8
2017/7/18,718.3,722.1,713.7,721.6
2017/7/19,713.5,721,712.3,718
2017/7/20,719.5,720.7,715,718.7
2017/7/21,714.8,715.7,711,713.6
2017/7/24,703.6,707.8,699.7,705.4
2017/7/25,705.8,712.3,704.1,704.7
2017/7/26,715.7,717.8,709.3,711.6
2017/7/27,706,712.1,704.7,708.1
2017/7/28,703,705.4,701.1,702.4
2017/7/31,700.8,705.7,699.3,700
2017/8/1,704,716.3,702.4,715.4
2017/8/2,722,726.6,716.4,716.8
2017/8/3,715.5,717.7,708.9,712.8
2017/8/4,708.2,710.9,707.3,709.2
2017/8/7,718,720,713.3,713.4
2017/8/8,713.4,714.2,708,710.6
2017/8/9,706.5,709.4,700.2,703
2017/8/10,700,700.6,693,696.7
2017/8/14,682,689.2,680.4,688.5
2017/8/15,698.8,706.8,697.1,700.1
2017/8/16,699.9,702.3,699,699.7
2017/8/17,698.5,698.7,692.7,693.1
2017/8/18,682.1,682.3,677,679.4
2017/8/21,678.2,679.4,668.2,670.6
2017/8/22,667.1,671.9,666,668.1
2017/8/23,676.2,676.7,660,665.3
2017/8/24,662,668.3,660,660
2017/8/25,661,667.7,659,664.3
2017/8/28,664.3,665.5,657,657.6
2017/8/29,649.7,657.4,645.2,656.3
2017/8/30,660,662.9,655.7,660.5
2017/8/31,667.1,680.8,666.2,674.1
2017/9/1,678.9,679.6,670.7,675.6
2017/9/4,671,674.3,666.4,667.7
2017/9/5,668.4,671.6,663.8,667.1
2017/9/6,656.2,659,652.6,657.9
2017/9/7,662.7,663.5,656.6,656.9
2017/9/8,654.8,658,652.3,653.6
2017/9/11,661.1,667.8,660.1,661.2
2017/9/12,675,676.2,671.8,672.5
2017/9/13,680.7,685.4,680.7,682.6
2017/9/14,684.1,686.9,675.2,676.2
2017/9/15,670,684.8,670,681.6
2017/9/19,701.6,709.5,696.3,708.9
2017/9/20,704.3,711.9,704.3,707.3
2017/9/21,723.5,726.4,717.8,719.4
2017/9/22,724,727.3,718.7,723.7
2017/9/25,727,727.7,717.5,719
2017/9/26,715,721.8,714.3,719.7
2017/9/27,715.3,720.9,714.3,720.6
2017/9/28,735,735.8,726,728.9
2017/9/29,725.1,731,721.6,730.7
2017/10/2,726.6,728.3,721.8,724.5
2017/10/3,728.6,731.2,725.4,727.6
2017/10/4,729.7,729.7,718.9,720.9
2017/10/5,723,723,715.6,716.5
2017/10/6,722.8,735.5,722,734.8
2017/10/10,730,730,721.4,727.3
2017/10/11,727.2,730.7,725.6,728.4
2017/10/12,730.4,730.6,720.6,720.9
2017/10/13,719.8,723.3,711.2,721.8
2017/10/16,720,735.6,718.6,732.7
2017/10/17,738,744.7,727.6,729.7
2017/10/18,731,731.3,723,725.9
2017/10/19,735,739.1,732,733.8
2017/10/20,731,732.1,725.9,727.8
2017/10/23,740,742.7,736.7,739.5
2017/10/24,739.2,751.4,738.7,751.3
2017/10/25,760,776.7,759.8,764.8
2017/10/26,763.8,772.7,763.2,769.7
2017/10/27,780,794.8,779,790.9
2017/10/30,788.8,789.2,774,782.6
2017/10/31,770.1,770.8,762.3,762.5
2017/11/1,770,775,765.9,768.1
2017/11/2,775,778,767.8,773.8
2017/11/6,777.4,777.5,752.4,761.5
2017/11/7,755.8,769.5,752,767.5
2017/11/8,757.5,763.7,756.4,760.4
2017/11/9,763,773.1,750.8,757
2017/11/10,749.5,753.2,745.5,746.6
2017/11/13,747.9,748.1,738.5,742.2
2017/11/14,746,746.8,740.1,741.9
2017/11/15,745,746,732.6,736.2
2017/11/16,736.2,746.3,734,738.7
2017/11/17,744.2,750.4,740.4,743.1
2017/11/20,737,739.8,730.6,735.2
2017/11/21,738,747.3,737.6,743.9
2017/11/22,749.1,762.7,748.5,759.9
2017/11/24,755.3,764,753.5,762.4
2017/11/27,765.3,767.5,762.2,762.8
2017/11/28,763.1,769.3,762.1,763.4
